code_com,code_dept,commune,demandeurs_emploi_homme
02001,02,Abbécourt,16
02002,02,Achery,15
02003,02,Acy,19
02004,02,Agnicourt-et-Séchelles,7
02005,02,Aguilcourt,10
02006,02,Aisonville-et-Bernoville,7
02007,02,Aizelles,
02008,02,Aizy-Jouy,5
02009,02,Alaincourt,11
02010,02,Allemant,
02011,02,Ambleny,26
02012,02,Ambrief,
02013,02,Amifontaine,9
02014,02,Amigny-Rouy,23
02015,02,Ancienville,
02016,02,Andelain,
02017,02,Anguilcourt-le-Sart,
02018,02,Anizy-le-Château,44
02019,02,Annois,11
02020,02,Any-Martin-Rieux,
02021,02,Archon,
02022,02,Arcy-Sainte-Restitue,7
02023,02,Armentières-sur-Ourcq,
02024,02,Arrancy,
02025,02,Artemps,7
02026,02,Artonges,
02027,02,Assis-sur-Serre,5
02028,02,Athies-sous-Laon,52
02029,02,Attilly,7
02030,02,Aubencheul-aux-Bois,5
02031,02,Aubenton,24
02032,02,Aubigny-aux-Kaisnes,13
02033,02,Aubigny-en-Laonnois,
02034,02,Audignicourt,
02035,02,Audigny,
02036,02,Augy,
02037,02,Aulnois-sous-Laon,34
02038,02,Les Autels,
02039,02,Autremencourt,
02040,02,Autreppes,
02041,02,Autreville,22
02042,02,Azy-sur-Marne,6
02043,02,Bagneux,0
02044,02,Bancigny,0
02046,02,Barenton-Bugny,10
02047,02,Barenton-Cel,
02048,02,Barenton-sur-Serre,
02049,02,Barisis-aux-Bois,14
02050,02,Barzy-en-Thiérache,6
02051,02,Barzy-sur-Marne,5
02052,02,Bassoles-Aulers,
02053,02,Baulne-en-Brie,
02054,02,Bazoches-sur-Vesles,9
02055,02,Beaumé,
02056,02,Beaumont-en-Beine,
02057,02,Beaurevoir,35
02058,02,Beaurieux,21
02059,02,Beautor,105
02060,02,Beauvois-en-Vermandois,
02061,02,Becquigny,5
02062,02,Belleau,6
02063,02,Bellenglise,11
02064,02,Belleu,107
02065,02,Bellicourt,23
02066,02,Benay,
02067,02,Bergues-sur-Sambre,
02068,02,Berlancourt,
02069,02,Berlise,
02070,02,Bernot,5
02071,02,Berny-Rivière,19
02072,02,Berrieux,8
02073,02,Berry-au-Bac,11
02074,02,Bertaucourt-Epourdon,11
02075,02,Berthenicourt,10
02076,02,Bertricourt,
02077,02,Berzy-le-Sec,8
02078,02,Besmé,
02079,02,Besmont,
02080,02,Besny-et-Loizy,12
02081,02,Béthancourt-en-Vaux,7
02082,02,Beugneux,
02083,02,Beuvardes,20
02084,02,Bézu-le-Guéry,
02085,02,Bézu-Saint-Germain,21
02086,02,Bichancourt,25
02087,02,Bieuxy,
02088,02,Bièvres,
02089,02,Billy-sur-Aisne,28
02090,02,Billy-sur-Ourcq,
02091,02,Blanzy-lès-Fismes,
02093,02,Blérancourt,25
02094,02,Blesmes,
02095,02,Bohain-en-Vermandois,273
02096,02,Bois-lès-Pargny,
02097,02,Boncourt,5
02098,02,Bonneil,7
02099,02,Bonnesvalyn,
02100,02,Bony,
02101,02,Bosmont-sur-Serre,
02102,02,Bouconville-Vauclair,
02103,02,Boué,36
02104,02,Bouffignereux,
02105,02,Bouresches,5
02106,02,Bourg-et-Comin,19
02107,02,Bourguignon-sous-Coucy,
02108,02,Bourguignon-sous-Montbavin,
02109,02,La Bouteille,13
02110,02,Braine,69
02111,02,Brancourt-en-Laonnois,24
02112,02,Brancourt-le-Grand,16
02114,02,Brasles,27
02115,02,Braye-en-Laonnois,
02116,02,Braye-en-Thiérache,
02117,02,Bray-Saint-Christophe,
02118,02,Braye,
02119,02,Brécy,7
02120,02,Brenelle,
02121,02,Breny,7
02122,02,Brie,5
02123,02,Brissay-Choigny,
02124,02,Brissy-Hamégicourt,14
02125,02,Brumetz,
02126,02,Brunehamel,13
02127,02,Bruyères-sur-Fère,
02128,02,Bruyères-et-Montbérault,29
02129,02,Bruys,
02130,02,Bucilly,
02131,02,Bucy-le-Long,42
02132,02,Bucy-lès-Cerny,7
02133,02,Bucy-lès-Pierrepont,9
02134,02,Buire,27
02135,02,Buironfosse,37
02136,02,Burelles,
02137,02,Bussiares,
02138,02,Buzancy,5
02139,02,Caillouël-Crépigny,7
02140,02,Camelin,10
02141,02,La Capelle,58
02142,02,Castres,
02143,02,Le Catelet,
02144,02,Caulaincourt,
02145,02,Caumont,12
02146,02,Celles-lès-Condé,
02147,02,La Celle-sous-Montmirail,
02148,02,Celles-sur-Aisne,
02149,02,Cerizy,
02150,02,Cerny-en-Laonnois,
02151,02,Cerny-lès-Bucy,
02152,02,Cerseuil,
02153,02,Cessières,10
02154,02,Chacrise,8
02155,02,Chaillevois,
02156,02,Chalandry,6
02157,02,Chambry,14
02158,02,Chamouille,8
02159,02,Champs,
02160,02,Chaourse,21
02161,02,La Chapelle-Monthodon,
02162,02,La Chapelle-sur-Chézy,
02163,02,Charly-sur-Marne,77
02164,02,Le Charmel,5
02165,02,Charmes,33
02166,02,Chartèves,
02167,02,Chassemy,21
02168,02,Château-Thierry,633
02169,02,Châtillon-lès-Sons,
02170,02,Châtillon-sur-Oise,
02171,02,Chaudardes,
02172,02,Chaudun,7
02173,02,Chauny,470
02174,02,Chavignon,18
02175,02,Chavigny,
02176,02,Chavonne,
02177,02,Chérêt,
02178,02,Chermizy-Ailles,
02179,02,Chéry-Chartreuve,6
02180,02,Chéry-lès-Pouilly,14
02181,02,Chéry-lès-Rozoy,6
02182,02,Chevennes,5
02183,02,Chevregny,
02184,02,Chevresis-Monceau,14
02185,02,Chézy-en-Orxois,
02186,02,Chézy-sur-Marne,29
02187,02,Chierry,19
02188,02,Chigny,
02189,02,Chivres-en-Laonnois,11
02190,02,Chivres-Val,15
02191,02,Chivy-lès-Étouvelles,7
02192,02,Chouy,12
02193,02,Cierges,0
02194,02,Cilly,
02195,02,Ciry-Salsogne,14
02196,02,Clacy-et-Thierret,
02197,02,Clairfontaine,5
02198,02,Clamecy,
02199,02,Clastres,15
02200,02,Clermont-les-Fermes,8
02201,02,Cœuvres-et-Valsery,7
02203,02,Coincy,43
02204,02,Coingt,
02205,02,Colligis-Crandelain,
02206,02,Colonfay,
02207,02,Commenchon,
02208,02,Concevreux,
02209,02,Condé-en-Brie,12
02210,02,Condé-sur-Aisne,6
02211,02,Condé-sur-Suippe,
02212,02,Condren,19
02213,02,Connigis,11
02214,02,Contescourt,
02215,02,Corbeny,17
02216,02,Corcy,10
02217,02,Coucy-le-Château-Auffrique,21
02218,02,Coucy-lès-Eppes,11
02219,02,Coucy-la-Ville,
02220,02,Coulonges-Cohan,6
02221,02,Coupru,
02222,02,Courbes,
02223,02,Courboin,0
02224,02,Courcelles-sur-Vesle,13
02225,02,Courchamps,
02226,02,Courmelles,44
02227,02,Courmont,5
02228,02,Courtemont-Varennes,5
02229,02,Courtrizy-et-Fussigny,
02230,02,Couvrelles,
02231,02,Couvron-et-Aumencourt,21
02232,02,Coyolles,6
02233,02,Cramaille,
02234,02,Craonne,
02235,02,Craonnelle,
02236,02,Crécy-au-Mont,10
02237,02,Crécy-sur-Serre,47
02238,02,Crépy,52
02239,02,Crézancy,41
02240,02,Croix-Fonsomme,
02241,02,La Croix-sur-Ourcq,
02242,02,Crouttes-sur-Marne,17
02243,02,Crouy,81
02244,02,Crupilly,
02245,02,Cuffies,46
02246,02,Cugny,12
02248,02,Cuirieux,
02249,02,Cuiry-Housse,
02250,02,Cuiry-lès-Chaudardes,
02251,02,Cuiry-lès-Iviers,
02252,02,Cuissy-et-Geny,
02253,02,Cuisy-en-Almont,
02254,02,Cutry,
02255,02,Cys-la-Commune,6
02256,02,Dagny-Lambercy,
02257,02,Dallon,
02258,02,Dammard,9
02259,02,Dampleux,
02260,02,Danizy,11
02261,02,Dercy,10
02262,02,Deuillet,
02263,02,Dhuizel,
02264,02,Dizy-le-Gros,23
02265,02,Dohis,
02266,02,Dolignon,
02267,02,Dommiers,9
02268,02,Domptin,12
02269,02,Dorengt,
02270,02,Douchy,7
02271,02,Dravegny,
02272,02,Droizy,
02273,02,Dury,
02274,02,Ébouleau,8
02275,02,Effry,17
02276,02,Englancourt,
02277,02,Épagny,10
02278,02,Éparcy,
02279,02,Épaux-Bézu,9
02280,02,Épieds,6
02281,02,L'Épine-aux-Bois,7
02282,02,Eppes,13
02283,02,Erlon,13
02284,02,Erloy,
02286,02,Esquéhéries,16
02287,02,Essigny-le-Grand,18
02288,02,Essigny-le-Petit,5
02289,02,Essises,8
02290,02,Essômes-sur-Marne,74
02291,02,Estrées,8
02292,02,Étampes-sur-Marne,31
02293,02,Étaves-et-Bocquiaux,13
02294,02,Étouvelles,
02295,02,Étréaupont,33
02296,02,Étreillers,24
02297,02,Étrépilly,
02298,02,Étreux,53
02299,02,Évergnicourt,13
02301,02,Faucoucourt,
02302,02,Faverolles,
02303,02,Fayet,11
02304,02,La Fère,162
02305,02,Fère-en-Tardenois,127
02306,02,La Ferté-Chevresis,19
02307,02,La Ferté-Milon,69
02308,02,Fesmy-le-Sart,15
02309,02,Festieux,16
02310,02,Fieulaine,5
02311,02,Filain,
02312,02,La Flamengrie,26
02313,02,Flavigny-le-Grand-et-Beaurain,13
02315,02,Flavy-le-Martel,45
02316,02,Fleury,0
02317,02,Fluquières,5
02318,02,Folembray,37
02319,02,Fonsomme,15
02320,02,Fontaine-lès-Clercs,5
02321,02,Fontaine-lès-Vervins,24
02322,02,Fontaine-Notre-Dame,
02323,02,Fontaine-Uterte,
02324,02,Fontenelle,7
02325,02,Fontenelle-en-Brie,
02326,02,Fontenoy,9
02327,02,Foreste,
02328,02,Fossoy,11
02329,02,Fourdrain,9
02330,02,Francilly-Selency,8
02331,02,Franqueville,
02332,02,Fresnes-en-Tardenois,
02333,02,Fresnes,
02334,02,Fresnoy-le-Grand,92
02335,02,Fressancourt,5
02336,02,Frières-Faillouël,14
02337,02,Froidestrées,
02338,02,Froidmont-Cohartille,8
02339,02,Gandelu,21
02340,02,Gauchy,152
02341,02,Gercy,
02342,02,Gergny,
02343,02,Germaine,
02344,02,Gernicourt,
02345,02,Gibercourt,0
02346,02,Gizy,13
02347,02,Gland,10
02348,02,Glennes,
02349,02,Goudelancourt-lès-Berrieux,0
02350,02,Goudelancourt-lès-Pierrepont,8
02351,02,Goussancourt,
02352,02,Gouy,12
02353,02,Grandlup-et-Fay,10
02354,02,Grandrieux,
02355,02,Gricourt,13
02356,02,Grisolles,5
02357,02,Gronard,
02358,02,Grougis,19
02359,02,Grugies,31
02360,02,Guignicourt,44
02361,02,Guise,249
02362,02,Guivry,
02363,02,Guny,15
02364,02,Guyencourt,
02366,02,Hannapes,10
02367,02,Happencourt,
02368,02,Haramont,11
02369,02,Harcigny,
02370,02,Hargicourt,10
02371,02,Harly,43
02372,02,Hartennes-et-Taux,9
02373,02,Hary,
02374,02,Lehaucourt,20
02375,02,Hautevesnes,
02376,02,Hauteville,
02377,02,Haution,
02378,02,La Hérie,
02379,02,Le Hérie-la-Viéville,
02380,02,Hinacourt,
02381,02,Hirson,510
02382,02,Holnon,31
02383,02,Homblières,40
02384,02,Houry,
02385,02,Housset,
02386,02,Iron,8
02387,02,Itancourt,22
02388,02,Iviers,
02389,02,Jaulgonne,14
02390,02,Jeancourt,7
02391,02,Jeantes,
02392,02,Joncourt,
02393,02,Jouaignes,
02395,02,Jumencourt,
02396,02,Jumigny,
02397,02,Jussy,30
02398,02,Juvigny,
02399,02,Juvincourt-et-Damary,7
02400,02,Laffaux,
02401,02,Laigny,
02402,02,Lanchy,
02403,02,Landifay-et-Bertaignemont,14
02404,02,Landouzy-la-Cour,
02405,02,Landouzy-la-Ville,14
02406,02,Landricourt,
02407,02,Laniscourt,
02408,02,Laon,1195
02409,02,Lappion,9
02410,02,Largny-sur-Automne,
02411,02,Latilly,
02412,02,Launoy,
02413,02,Laval-en-Laonnois,
02414,02,Lavaqueresse,
02415,02,Laversine,
02416,02,Lemé,17
02417,02,Lempire,
02418,02,Lerzy,5
02419,02,Leschelle,
02420,02,Lesdins,9
02421,02,Lesges,
02422,02,Lesquielles-Saint-Germain,26
02423,02,Leuilly-sous-Coucy,10
02424,02,Leury,
02425,02,Leuze,
02426,02,Levergies,11
02427,02,Lhuys,
02428,02,Licy-Clignon,
02429,02,Lierval,
02430,02,Liesse-Notre-Dame,36
02431,02,Liez,9
02432,02,Limé,
02433,02,Lislet,5
02434,02,Lizy,
02435,02,Logny-lès-Aubenton,
02438,02,Longpont,
02439,02,Longueval-Barbonval,19
02440,02,Lor,
02441,02,Louâtre,
02442,02,Loupeigne,
02443,02,Lucy-le-Bocage,
02444,02,Lugny,
02445,02,Luzoir,
02446,02,Ly-Fontaine,0
02447,02,Maast-et-Violaine,
02448,02,Mâchecourt,
02449,02,Macogny,
02450,02,Macquigny,16
02451,02,Magny-la-Fosse,
02452,02,Maissemy,
02453,02,Maizy,8
02454,02,La Malmaison,
02455,02,Malzy,7
02456,02,Manicamp,8
02457,02,Marchais,
02458,02,Marchais-en-Brie,
02459,02,Marcy,
02460,02,Marcy-sous-Marle,
02461,02,Marest-Dampcourt,14
02462,02,Mareuil-en-Dôle,5
02463,02,Marfontaine,
02464,02,Margival,6
02465,02,Marigny-en-Orxois,15
02466,02,Marizy-Sainte-Geneviève,
02467,02,Marizy-Saint-Mard,
02468,02,Marle,103
02469,02,Marly-Gomont,15
02470,02,Martigny,12
02471,02,Martigny-Courpierre,
02472,02,Mauregny-en-Haye,10
02473,02,Mayot,5
02474,02,Mennessis,8
02475,02,Menneville,6
02476,02,Mennevret,19
02477,02,Mercin-et-Vaux,20
02478,02,Merlieux-et-Fouquerolles,
02479,02,Merval,
02480,02,Mesbrecourt-Richecourt,
02481,02,Mesnil-Saint-Laurent,8
02482,02,Meurival,
02483,02,Mézières-sur-Oise,8
02484,02,Mézy-Moulins,14
02485,02,Missy-aux-Bois,
02486,02,Missy-lès-Pierrepont,
02487,02,Missy-sur-Aisne,17
02488,02,Molain,
02489,02,Molinchart,
02490,02,Monampteuil,
02491,02,Monceau-le-Neuf-et-Faucouzy,14
02492,02,Monceau-lès-Leups,
02493,02,Monceau-le-Waast,
02494,02,Monceau-sur-Oise,
02495,02,Mondrepuis,33
02496,02,Monnes,
02497,02,Mons-en-Laonnois,22
02498,02,Montaigu,18
02499,02,Montbavin,
02500,02,Montbrehain,24
02501,02,Montchâlons,
02502,02,Montcornet,72
02503,02,Mont-d'Origny,25
02504,02,Montescourt-Lizerolles,54
02505,02,Montfaucon,5
02506,02,Montgobert,
02507,02,Montgru-Saint-Hilaire,
02508,02,Monthenault,
02509,02,Monthiers,
02510,02,Monthurel,
02511,02,Montigny-en-Arrouaise,10
02512,02,Montigny-l'Allier,6
02513,02,Montigny-le-Franc,7
02514,02,Montigny-Lengrain,21
02515,02,Montigny-lès-Condé,
02516,02,Montigny-sous-Marle,
02517,02,Montigny-sur-Crécy,13
02518,02,Montlevon,13
02519,02,Montloué,
02520,02,Mont-Notre-Dame,15
02521,02,Montreuil-aux-Lions,26
02522,02,Mont-Saint-Jean,
02523,02,Mont-Saint-Martin,
02524,02,Mont-Saint-Père,13
02525,02,Morcourt,12
02526,02,Morgny-en-Thiérache,
02527,02,Morsain,11
02528,02,Mortefontaine,
02529,02,Mortiers,9
02530,02,Moulins,
02531,02,Moussy-Verneuil,
02532,02,Moÿ-de-l'Aisne,34
02533,02,Muret-et-Crouttes,
02534,02,Muscourt,
02535,02,Nampcelles-la-Cour,
02536,02,Nampteuil-sous-Muret,0
02537,02,Nanteuil-la-Fosse,
02538,02,Nanteuil-Notre-Dame,
02539,02,Nauroy,22
02540,02,Nesles-la-Montagne,28
02541,02,Neufchâtel-sur-Aisne,
02542,02,Neuflieux,
02543,02,Neuilly-Saint-Front,65
02544,02,Neuve-Maison,19
02545,02,La Neuville-Bosmont,
02546,02,La Neuville-en-Beine,
02547,02,La Neuville-Housset,
02548,02,La Neuville-lès-Dorengt,10
02549,02,Neuville-Saint-Amand,29
02550,02,Neuville-sur-Ailette,
02551,02,Neuville-sur-Margival,
02552,02,Neuvillette,
02553,02,Nizy-le-Comte,9
02554,02,Nogentel,17
02555,02,Nogent-l'Artaud,61
02556,02,Noircourt,
02557,02,Noroy-sur-Ourcq,
02558,02,Le Nouvion-en-Thiérache,108
02559,02,Nouvion-et-Catillon,13
02560,02,Nouvion-le-Comte,7
02561,02,Nouvion-le-Vineux,
02562,02,Nouvron-Vingré,
02563,02,Noyales,
02564,02,Noyant-et-Aconin,12
02565,02,Œuilly,8
02566,02,Ognes,24
02567,02,Ohis,
02568,02,Oigny-en-Valois,
02569,02,Oisy,21
02570,02,Ollezy,
02571,02,Omissy,13
02572,02,Orainville,7
02573,02,Orgeval,0
02574,02,Origny-en-Thiérache,35
02575,02,Origny-Sainte-Benoite,61
02576,02,Osly-Courtil,8
02577,02,Ostel,
02578,02,Oulches-la-Vallée-Foulon,
02579,02,Oulchy-la-Ville,
02580,02,Oulchy-le-Château,30
02581,02,Paars,7
02582,02,Paissy,
02583,02,Pancy-Courtecon,0
02584,02,Papleux,
02585,02,Parcy-et-Tigny,
02586,02,Parfondeval,
02587,02,Parfondru,
02588,02,Pargnan,
02589,02,Pargny-Filain,6
02590,02,Pargny-la-Dhuys,
02591,02,Pargny-les-Bois,
02592,02,Parpeville,10
02593,02,Pasly,13
02594,02,Passy-en-Valois,
02595,02,Passy-sur-Marne,
02596,02,Pavant,20
02597,02,Perles,
02598,02,Pernant,10
02599,02,Pierremande,12
02600,02,Pierrepont,9
02601,02,Pignicourt,
02602,02,Pinon,66
02604,02,Pithon,
02605,02,Pleine-Selve,
02606,02,Le Plessier-Huleu,
02607,02,Ploisy,
02608,02,Plomion,14
02609,02,Ployart-et-Vaurseine,0
02610,02,Pommiers,15
02612,02,Pont-Arcy,
02613,02,Pontavert,13
02614,02,Pontru,7
02615,02,Pontruet,
02616,02,Pont-Saint-Mard,6
02617,02,Pouilly-sur-Serre,21
02618,02,Prémont,13
02619,02,Prémontré,18
02620,02,Presles-et-Boves,9
02621,02,Presles-et-Thierny,
02622,02,Priez,
02623,02,Prisces,
02624,02,Proisy,14
02625,02,Proix,5
02626,02,Prouvais,
02627,02,Proviseux-et-Plesnoy,0
02628,02,Puiseux-en-Retz,
02629,02,Puisieux-et-Clanlieu,7
02631,02,Quierzy,10
02632,02,Quincy-Basse,
02633,02,Quincy-sous-le-Mont,
02634,02,Raillimont,
02635,02,Ramicourt,
02636,02,Regny,
02637,02,Remaucourt,
02638,02,Remies,8
02639,02,Remigny,13
02640,02,Renansart,
02641,02,Renneval,
02642,02,Résigny,
02643,02,Ressons-le-Long,13
02644,02,Retheuil,7
02645,02,Reuilly-Sauvigny,
02646,02,Révillon,
02647,02,Ribeauville,
02648,02,Ribemont,76
02649,02,Rocourt-Saint-Martin,
02650,02,Rocquigny,7
02651,02,Rogécourt,
02652,02,Rogny,
02653,02,Romeny-sur-Marne,11
02654,02,Romery,
02655,02,Ronchères,
02656,02,Roucy,8
02657,02,Rougeries,14
02658,02,Roupy,6
02659,02,Rouvroy,9
02660,02,Rouvroy-sur-Serre,
02661,02,Royaucourt-et-Chailvet,
02662,02,Rozet-Saint-Albin,6
02663,02,Rozières-sur-Crise,8
02664,02,Rozoy-Bellevalle,
02665,02,Grand-Rozoy,
02666,02,Rozoy-sur-Serre,38
02667,02,Saconin-et-Breuil,
02668,02,Sains-Richaumont,34
02669,02,Saint-Agnan,
02670,02,Saint-Algis,
02671,02,Saint-Aubin,7
02672,02,Saint-Bandry,7
02673,02,Saint-Christophe-à-Berry,7
02674,02,Saint-Clément,
02675,02,Sainte-Croix,6
02676,02,Saint-Erme-Outre-et-Ramecourt,38
02677,02,Saint-Eugène,7
02678,02,Sainte-Geneviève,
02679,02,Saint-Gengoulph,0
02680,02,Saint-Gobain,50
02681,02,Saint-Gobert,12
02682,02,Saint-Mard,
02683,02,Saint-Martin-Rivière,
02684,02,Saint-Michel,140
02685,02,Saint-Nicolas-aux-Bois,5
02686,02,Saint-Paul-aux-Bois,11
02687,02,Saint-Pierre-Aigle,7
02688,02,Saint-Pierre-lès-Franqueville,
02689,02,Saint-Pierremont,
02690,02,Sainte-Preuve,
02691,02,Saint-Quentin,2590
02693,02,Saint-Rémy-Blanzy,
02694,02,Saint-Simon,14
02695,02,Saint-Thibaut,
02696,02,Saint-Thomas,
02697,02,Samoussy,
02698,02,Sancy-les-Cheminots,
02699,02,Saponay,
02701,02,Saulchery,23
02702,02,Savy,10
02703,02,Seboncourt,35
02704,02,Selens,
02705,02,La Selve,5
02706,02,Septmonts,10
02707,02,Septvaux,6
02708,02,Sequehart,
02709,02,Serain,10
02710,02,Seraucourt-le-Grand,27
02711,02,Serches,7
02712,02,Sergy,
02713,02,Seringes-et-Nesles,7
02714,02,Sermoise,5
02715,02,Serval,
02716,02,Servais,5
02717,02,Séry-lès-Mézières,18
02718,02,Silly-la-Poterie,
02719,02,Sinceny,63
02720,02,Sissonne,85
02721,02,Sissy,8
02722,02,Soissons,1355
02723,02,Soize,
02724,02,Sommelans,
02725,02,Sommeron,
02726,02,Sommette-Eaucourt,
02727,02,Sons-et-Ronchères,7
02728,02,Sorbais,
02729,02,Soucy,
02730,02,Soupir,11
02731,02,Le Sourd,
02732,02,Surfontaine,
02733,02,Suzy,6
02734,02,Taillefontaine,5
02735,02,Tannières,
02736,02,Tartiers,
02737,02,Tavaux-et-Pontséricourt,12
02738,02,Tergnier,558
02739,02,Terny-Sorny,7
02740,02,Thenailles,7
02741,02,Thenelles,11
02742,02,Thiernu,
02743,02,Le Thuel,
02744,02,Torcy-en-Valois,
02745,02,Toulis-et-Attencourt,
02746,02,Travecy,10
02747,02,Trefcon,
02748,02,Trélou-sur-Marne,20
02749,02,Troësnes,5
02750,02,Trosly-Loire,12
02751,02,Trucy,
02752,02,Tugny-et-Pont,
02753,02,Tupigny,9
02754,02,Ugny-le-Gay,
02755,02,Urcel,12
02756,02,Urvillers,15
02757,02,Vadencourt,14
02758,02,Vailly-sur-Aisne,69
02759,02,La Vallée-au-Blé,7
02760,02,La Vallée-Mulâtre,
02761,02,Variscourt,
02762,02,Vassens,5
02763,02,Vasseny,6
02764,02,Vassogne,
02765,02,Vaucelles-et-Beffecourt,5
02766,02,Vaudesson,6
02767,02,Vauxrezis,5
02768,02,Vauxaillon,12
02769,02,Vaux-Andigny,31
02770,02,Vauxbuin,17
02771,02,Vauxcéré,
02772,02,Vaux-en-Vermandois,
02773,02,Vauxtin,0
02774,02,Vendelles,
02775,02,Vendeuil,23
02776,02,Vendhuile,11
02777,02,Vendières,
02778,02,Vendresse-Beaulne,
02779,02,Vénérolles,5
02780,02,Venizel,54
02781,02,Verdilly,10
02782,02,Le Verguier,6
02783,02,Grand-Verly,
02784,02,Petit-Verly,7
